French,English
abroger,to repeal
acquiescer,to acquiesce
affable,"affable, friendly"
aliéner,to alienate
aménager,"to arrange, to set up"
anachronisme,anachronism
antinomie,"antinomy, contradiction between two beliefs or conclusions"
apologie,"defense, justification"
argutie,"sophistry, quibble"
assujettir,to subjugate
ataraxie,state of serene calmness
augurer,"to predict, to foretell"
austère,"austere, strict"
autarcie,self-sufficiency
aversion,strong dislike
baliverne,nonsense
belliqueux,"belligerent, warlike"
belligérant,belligerent party
bigoterie,"bigotry, narrow-minded religious zeal"
cacophonie,cacophony
candide,"naive, innocent"
capricieux,"capricious, unpredictable"
caustique,"caustic, biting (in speech)"
clémence,"clemency, mercy"
coercition,coercion
collusion,"collusion, secret agreement"
commuer,"to commute, to change"
compendieux,concise
compulser,"to consult (a book), to leaf through"
concomitant,"simultaneous, concurrent"
conflagration,"large destructive fire, conflict"
conjecture,"speculation, guess"
connivence,"collusion, complicity"
conséquent,consistent
contingent,"random, incidental"
contrition,remorse
corollaire,"corollary, consequence"
cupide,greedy
débonnaire,"gentle, easy-going"
dédale,"maze, labyrinth"
déférence,"deference, respect"
déliquescence,"decay, decline"
désuet,obsolete
dialectique,"dialectic, logical reasoning"
différer,"to defer, to postpone"
digression,digression
dispendieux,expensive
dissonance,dissonance
dithyrambique,"raving, wildly enthusiastic"
édulcorer,to sugarcoat
élucubration,nonsensical idea
émollient,softening agent
emphatique,"pompous, overblown"
empirique,empirical
envergure,"scope, scale"
épistémologie,epistemology
équivoque,ambiguous
érudit,scholarly
escarpement,steep slope
esclandre,"scene, scandal"
espieglerie,mischievousness
ethéré,ethereal
exégèse,"exegesis, interpretation"
exhorter,"to exhort, to urge"
expédient,"resource, makeshift solution"
fallacieux,deceptive
fangeux,"muddy, filthy"
fastidieux,tedious
félonie,treachery
félon,traitor
flegmatique,"phlegmatic, calm"
frugal,frugal
galimatias,gibberish
harangue,"rant, speech"
hédonisme,hedonism
histrion,"histrionic person, actor"
ignominie,"shame, disgrace"
imprécation,curse
inanité,"emptiness, futility"
incurie,negligence
ineffable,indescribable
inénarrable,unspeakable
inexorable,relentless
infatuation,infatuation
inféoder,to subjugate
inique,unjust
insidieux,insidious
insipide,bland
interlope,"shady, suspicious"
invective,"tirade, abuse"
irascible,irritable
labile,unstable
laconique,concise
langueur,listlessness
léthargie,lethargy
lubie,whim
lucre,profit
magnanime,magnanimous
métaphysique,metaphysical
misanthrope,misanthrope
misogyne,misogynist
moribond,dying
morbide,morbid
nébuleux,"hazy, vague"
négationnisme,Holocaust denial
néologisme,neologism
nihilisme,nihilism
nocif,harmful
nonchalance,indifference
obsolescence,obsolescence
obtempérer,to comply
omnipotent,all-powerful
omniscient,all-knowing
onerous,onerous
opprobre,opprobrium
ostentatoire,ostentatious
outrancier,excessive
paradoxe,paradox
parangon,paragon
parjure,perjury
patibulaire,sinister-looking
péremptoire,peremptory
pernicieux,pernicious
persifler,to mock
pertinent,relevant
pharisaïque,hypocritical
pléthore,plethora
polémique,controversy
pragmatisme,pragmatism
prérogative,prerogative
procrastination,procrastination
prolétaire,proletarian
prolifique,prolific
propension,tendency
proroger,to extend
pusillanime,timid
quintessence,quintessence
récalcitrant,uncooperative
récrimination,counter-accusation
rédhibitoire,prohibitive
rémission,remission
répudier,to repudiate
résilience,resilience
retors,"twisted, devious"
revêche,"surly, unwelcoming"
rhapsodie,rhapsody
sagacité,shrewdness
salubre,healthful
sardonique,sardonic
scabreux,"risqué, indecent"
scepticisme,skepticism
sibyllin,enigmatic
sinuosité,"twist, winding"
solécisme,grammatical mistake
sophisme,sophism
sournois,"sly, sneaky"
spéculatif,speculative
spolier,to dispossess
stoïcisme,stoicism
subodorer,to suspect
subreptice,surreptitious
subséquent,subsequent
superfétatoire,superfluous
suranné,outdated
sycophante,sycophant
syllogisme,syllogism
taciturne,"reserved, uncommunicative"
tangentiel,tangential
tempérance,moderation
ténu,tenuous
torpeur,torpor
trivial,trivial
ubuesque,"absurd, grotesque"
usurpation,usurpation
vacuité,emptiness
vénal,corruptible
vindicatif,vindictive
